115,-116,664.6711396
118,-119,668.9137803
-51,-51,445.9898987
-50,-50,444.5756852
-49,-49,443.1614716
-48,-48,441.747258
-47,-47,440.3330445
-46,-46,438.9188309
-45,-45,437.5046174
-3,-3,1376.839754
-2,-2,1377.839754
-1,-1,1378.839754
0,0,1379.839754
1,1,0
2,2,1
3,3,2
117,-118,667.4995667
116,-117,666.0853532
114,-115,663.256926
59,-60,1273.170706
58,-59,1271.756493
57,-58,1270.342279
56,-57,1270.342279
55,-56,1270.928066
54,-55,1271.513852
3,-4,1375.839754
2,-3,1376.839754
1,-2,1377.839754
0,-1,1378.839754
-1,0,1379.839754
-2,1,0
-3,2,1
-111,110,253.509668
-112,111,252.9238816
-113,112,252.3380951
-114,113,251.7523087
-115,114,251.1665222
-116,115,252.5807358
116,-118,666.4995667
118,-120,669.3279938
119,-119,669.9137803
-51,-52,446.9898987
-49,-50,444.1614716
-47,-48,441.3330445
-45,-46,438.5046174
-3,-4,1375.839754
-1,-2,1377.839754
1,0,1379.839754
3,2,1
2,3,2
0,1,0
-2,-1,1378.839754
-46,-45,437.9188309
-48,-47,440.747258
-50,-49,443.5756852
117,-117,667.0853532
114,-116,663.6711396
115,-115,664.256926
58,-60,1273.58492
59,-59,1272.170706
56,-58,1270.756493
54,-56,1271.928066
2,-4,1375.839754
0,-2,1377.839754
-2,0,1379.839754
-3,3,2
-112,110,253.9238816
-114,112,252.7523087
-116,114,252.1665222
-115,115,250.7523087
-113,113,251.3380951
-111,111,252.509668
-1,1,0
1,-1,1378.839754
3,-3,1376.839754
55,-55,1270.513852
57,-57,1269.342279
119,-118,670.3279938
115,-114,664.6711396
117,-120,667.4995667
116,-119,666.0853532
-50,-52,446.5756852
-51,-49,443.9898987
-49,-51,445.1614716
-48,-46,439.747258
-47,-45,438.3330445
-46,-48,440.9188309
-45,-47,439.5046174
-3,-1,1378.839754
-2,-4,1375.839754
-1,-3,1376.839754
0,2,1
1,3,2
2,0,1379.839754
3,1,0
118,-117,668.9137803
113,-116,661.8427125
57,-60,1273.170706
56,-59,1271.756493
53,-56,1272.928066
52,-55,1273.513852
3,-2,1377.839754
2,-1,1378.839754
1,-4,1375.839754
0,-3,1376.839754
-3,0,1379.839754
-111,108,255.509668
-110,111,252.0954544
-112,109,254.9238816
-113,114,250.3380951
-114,115,249.7523087
-115,112,253.1665222
-116,113,252.5807358
-2,3,2
-1,2,1
59,-58,1270.342279
58,-57,1268.928066
119,-117,669.9137803
113,-115,662.256926
116,-120,666.4995667
117,-119,667.9137803
118,-118,668.4995667
-49,-52,446.1614716
-47,-46,439.3330445
-48,-45,438.747258
-45,-48,440.5046174
-3,-2,1377.839754
-1,-4,1375.839754
1,2,1
0,3,2
3,0,1379.839754
2,1,0
-2,-3,1376.839754
-46,-47,439.9188309
-50,-51,445.5756852
-51,-50,444.9898987
112,-116,660.8427125
56,-60,1273.58492
52,-56,1273.928066
2,-2,1377.839754
3,-1,1378.839754
0,-4,1375.839754
-1,3,2
-3,1,0
-112,108,255.9238816
-114,114,250.7523087
-113,115,249.3380951
-116,112,253.5807358
-115,113,252.1665222
-111,109,254.509668
-2,2,1
1,-3,1376.839754
53,-55,1272.513852
57,-59,1272.170706
58,-58,1270.756493
59,-57,1269.342279
114,-119,664.0853532
115,-120,665.4995667
113,-118,662.6711396
112,-117,661.256926
119,-116,669.4995667
-51,-55,449.9898987
-50,-54,448.5756852
-49,-53,447.1614716
-48,-44,437.747258
-47,-43,436.3330445
-46,-42,434.9188309
-45,-41,433.5046174
-3,-7,1372.839754
-2,-6,1373.839754
-1,-5,1374.839754
0,4,3
1,5,4
2,6,5
3,7,6
118,-115,668.0853532
117,-114,666.6711396
56,-61,1274.58492
51,-56,1274.928066
50,-55,1275.513852
49,-54,1276.928066
3,-8,1371.839754
2,-7,1372.839754
1,-6,1373.839754
0,-5,1374.839754
-1,4,3
-2,5,4
-3,6,5
-112,107,256.9238816
-117,112,253.9949494
-114,117,249.7523087
-115,118,251.1665222
-113,116,248.3380951
60,-57,1268.928066
62,-59,1271.756493
61,-58,1270.342279
114,-120,663.6711396
115,-119,665.0853532
112,-118,660.8427125
113,-117,662.256926
118,-116,668.4995667
119,-115,669.0853532
-51,-56,450.9898987
-49,-54,448.1614716
-47,-44,437.3330445
-45,-42,434.5046174
-3,-8,1371.839754
-1,-6,1373.839754
1,4,3
3,6,5
2,7,6
0,5,4
-2,-5,1374.839754
-46,-41,433.9188309
-48,-43,436.747258
-50,-53,447.5756852
116,-114,665.6711396
63,-59,1272.170706
60,-58,1270.756493
50,-56,1275.928066
48,-54,1277.928066
2,-8,1371.839754
0,-6,1373.839754
-2,4,3
-3,7,6
-112,106,257.9238816
-113,117,247.9238816
-117,113,253.5807358
-115,119,250.7523087
-114,116,249.3380951
-111,107,256.509668
-1,5,4
1,-5,1374.839754
3,-7,1372.839754
51,-55,1274.513852
61,-57,1269.342279
115,-118,664.6711396
113,-120,662.6711396
112,-119,661.256926
63,-58,1270.342279
62,-57,1268.928066
114,-117,663.256926
117,-116,667.4995667
116,-115,666.0853532
119,-114,669.4995667
-50,-56,450.5756852
-51,-53,447.9898987
-49,-55,449.1614716
-48,-42,435.747258
-47,-41,434.3330445
-46,-44,436.9188309
-45,-43,435.5046174
-3,-5,1374.839754
-2,-8,1371.839754
-1,-7,1372.839754
0,6,5
1,7,6
2,4,3
3,5,4
118,-113,668.0853532
61,-60,1273.170706
60,-59,1271.756493
49,-56,1276.928066
48,-55,1278.342279
41,-48,1287.413347
40,-47,1288.827561
3,-6,1373.839754
2,-5,1374.839754
1,-8,1371.839754
0,-7,1372.839754
-3,4,3
-112,105,258.9238816
-113,118,248.3380951
-114,119,249.7523087
-117,114,253.9949494
-115,116,251.1665222
-2,7,6
-1,6,5
115,-117,665.0853532
112,-120,661.6711396
62,-58,1270.756493
63,-57,1269.342279
113,-119,662.256926
114,-118,663.6711396
116,-116,665.6711396
117,-115,667.0853532
118,-114,667.6711396
119,-113,669.0853532
-49,-56,450.1614716
-47,-42,435.3330445
-48,-41,434.747258
-45,-44,436.5046174
-3,-6,1373.839754
-1,-8,1371.839754
1,6,5
0,7,6
3,4,3
2,5,4
-2,-7,1372.839754
-46,-43,435.9188309
-50,-55,449.5756852
-51,-54,448.9898987
60,-60,1273.58492
50,-54,1275.928066
48,-56,1278.756493
40,-48,1288.413347
0,-8,1371.839754
-1,7,6
-3,5,4
-112,104,259.9238816
-116,116,252.1665222
-115,117,250.7523087
-114,118,249.3380951
-113,119,247.9238816
-2,6,5
1,-7,1372.839754
2,-6,1373.839754
3,-5,1374.839754
49,-55,1277.342279
61,-59,1272.170706
122,-115,672.9137803
113,-122,662.6711396
112,-121,661.256926
63,-56,1267.513852
62,-55,1266.099639
61,-54,1264.685425
60,-53,1264.685425
125,-118,677.156421
-51,-59,453.9898987
-50,-58,452.5756852
-49,-57,451.1614716
-48,-40,433.747258
-47,-39,432.3330445
-46,-38,430.9188309
-45,-37,429.5046174
-3,-11,1368.839754
-2,-10,1369.839754
-1,-9,1370.839754
0,8,7
1,9,8
2,10,9
3,11,10
124,-117,675.7422074
123,-116,674.3279938
121,-114,671.4995667
120,-113,670.0853532
52,-61,1275.999133
51,-60,1276.58492
50,-59,1277.170706
49,-58,1277.756493
48,-57,1278.342279
39,-48,1290.241774
38,-47,1291.655988
37,-46,1292.241774
36,-45,1293.655988
3,-12,1367.839754
2,-11,1368.839754
1,-10,1369.839754
0,-9,1370.839754
-1,8,7
-2,9,8
-3,10,9
-112,103,260.9238816
-113,120,248.3380951
-114,121,249.7523087
122,-116,673.3279938
112,-122,661.6711396
62,-56,1267.928066
60,-54,1265.099639
61,-53,1263.685425
63,-55,1266.513852
113,-121,663.0853532
124,-118,676.156421
125,-117,676.7422074
-51,-60,454.9898987
-49,-58,452.1614716
