0,0
-8.73E-05,-0.004999238
-4.34E-04,-0.014936683
-2.59E-04,-0.019791808
7.74E-04,-0.019667838
5.19E-04,-0.024379755
0.014353857,0.008397821
0.045816828,0.076645674
0.097596283,0.178392735
0.171611745,0.311882492
0.269095644,0.475689944
0.390661826,0.668796091
0.536888769,0.890177157
0.707797962,1.139269286
0.903405019,1.41551483
1.123719832,1.718362369
1.368746725,2.047266717
1.638484599,2.401688937
1.932418777,2.781574879
2.250041072,3.186866508
2.590849765,3.61750202
2.954349575,4.073415966
3.313850887,4.524314858
3.672708886,4.974000321
4.054392327,5.448458141
4.43532235,5.921320637
4.815663296,6.392450319
5.188014684,6.855154763
5.552224021,7.309832048
5.916731974,7.762051044
6.272670686,8.20724391
6.629476871,8.648997337
6.977416427,9.085130555
7.361526096,9.516918152
7.781080107,9.938825108
8.234601538,10.34553696
8.720184723,10.7326998
9.235774835,11.09688234
9.779387787,11.43550216
10.3488563,11.74617912
10.94231243,12.02726936
11.55780872,12.27727013
12.19332917,12.4948216
12.84679993,12.67870789
